X,Y,Z,
3.96182,0.0614218,1.40472,
4.01865,0.0619129,1.40435,
4.07549,0.0624059,1.40398,
4.10007,0.062617,1.40382,
4.13016,0.0628724,1.40363,
4.15476,0.0630777,1.40348,
4.18464,0.0633254,1.4033,
4.21452,0.0635739,1.40312,
4.24441,0.0638227,1.40293,
4.27429,0.0640717,1.40275,
4.30851,0.0643567,1.40254,
4.34274,0.0646415,1.40233,
4.37698,0.0649254,1.40213,
4.40866,0.0651867,1.40194,
4.44034,0.0654472,1.40176,
4.47997,0.0657778,1.40153,
4.49332,0.0658915,1.40145,
4.50667,0.0660062,1.40137,
4.52254,0.0661435,1.40127,
4.53588,0.06626,1.40119,
4.55173,0.066399,1.4011,
4.56759,0.0665382,1.401,
4.58345,0.0666774,1.4009,
4.6011,0.066832,1.40079,
4.61874,0.0669863,1.40068,
4.64265,0.0671918,1.40054,
4.6581,0.067322,1.40045,
4.67188,0.0674373,1.40037,
4.67664,0.067477,1.40034,
4.68141,0.0675167,1.40032,
4.69519,0.067631,1.40024,
4.70897,0.0677452,1.40016,
4.72275,0.0678592,1.40009,
4.7338,0.0679504,1.40003,
4.74485,0.0680416,1.39997,
4.7559,0.0681328,1.39991,
4.77328,0.068276,1.39981,
4.78521,0.0683741,1.39974,
4.79715,0.0684723,1.39968,
4.80908,0.0685704,1.39961,
4.82064,0.0686653,1.39955,
4.83219,0.0687602,1.39948,
4.84375,0.0688549,1.39942,
4.85959,0.0689847,1.39933,
4.87192,0.0690857,1.39927,
4.88425,0.0691865,1.3992,
4.89617,0.0692839,1.39913,
4.90809,0.0693812,1.39907,
4.92001,0.0694784,1.399,
4.93193,0.0695755,1.39893,
4.94619,0.0696917,1.39886,
4.96709,0.0698619,1.39874,
4.98769,0.0700293,1.39863,
5.00829,0.0701965,1.39851,
5.02851,0.0703604,1.3984,
5.04873,0.0705241,1.39829,
5.06895,0.0706875,1.39818,
5.08909,0.07085,1.39807,
5.10897,0.0710102,1.39796,
5.12885,0.0711701,1.39785,
5.14865,0.0713292,1.39774,
5.16822,0.0714862,1.39763,
5.18779,0.0716428,1.39752,
5.20709,0.071797,1.39742,
5.22638,0.071951,1.39731,
5.24567,0.0721047,1.3972,
