CFD-a,CFD-a.1,SIM-a,SIM-a.1,CFD-b,CFD-b.1,SIM-b,SIM-b.1,CFD-c,CFD-c.1,SIM-c,SIM-c.1,CFD-d,CFD-d.1,SIM-d,SIM-d.1,CFD-e,CFD-e.1,SIM-e,SIM-e.1
2.33194,514.4167567567567,2.33194,471.01409,,,,,,,,,2.4005,535.3142857142857,2.4005,482.53347,2.45089,577.9531428571428,2.45089,496.0697
2.33288,514.3616216216217,2.33288,470.98877,,,,,,,,,2.40144,535.2617142857143,2.40144,482.4997,2.45183,577.8462857142856,2.45183,496.02605
2.33381,514.3064864864865,2.33381,470.96348,,,,,,,,,2.40237,535.2091428571429,2.40237,482.46596,2.45277,577.7394285714286,2.45277,495.98245
2.33475,514.2513513513513,2.33475,470.93822,,,,,,,,,2.40331,535.1565714285714,2.40331,482.43227,2.4537,577.6325714285714,2.4537,495.93891
2.33568,514.1962162162163,2.33568,470.913,,,,,,,,,2.40425,535.104,2.40425,482.39861,2.45464,577.5257142857142,2.45464,495.89541
2.33662,514.1410810810811,2.33662,470.8878,,,,,,,,,2.40518,535.0514285714286,2.40518,482.36499,2.45558,577.4188571428571,2.45558,495.85196
2.33755,514.085945945946,2.33755,470.86263,,,,,,,,,2.40612,534.9988571428571,2.40612,482.33141,2.45652,577.312,2.45652,495.80856
2.33849,514.0308108108109,2.33849,470.8375,,,,,,,,,2.40706,534.9462857142858,2.40706,482.29787,2.45746,577.2051428571428,2.45746,495.76521
2.33942,513.9756756756757,2.33942,470.81239,,,,,,,,,2.40799,534.8937142857143,2.40799,482.26437,2.45839,577.0982857142857,2.45839,495.72191
2.34036,513.9205405405406,2.34036,470.78731,,,,,,,,,2.40893,534.8411428571429,2.40893,482.23091,2.45933,576.9914285714285,2.45933,495.67867
2.34129,513.8654054054055,2.34129,470.76227,,,,,,,,,2.40987,534.7885714285715,2.40987,482.19749,2.46027,576.8845714285715,2.46027,495.63546
2.34223,513.8102702702703,2.34223,470.73725,,,,,,,,,2.4108,534.736,2.4108,482.16411,2.46121,576.7777142857143,2.46121,495.59231
2.34316,513.7551351351352,2.34316,470.71226,,,,,,,,,2.41174,534.6834285714286,2.41174,482.13076,2.46214,576.6708571428571,2.46214,495.54921
2.34365,513.7,2.34365,470.699785,,,,,,,,,2.41268,534.6308571428572,2.41268,482.09746,2.46308,576.564,2.46308,495.50616
2.3441,513.6347368421053,2.3441,470.68731,,,,,,,,,2.41361,534.5782857142857,2.41361,482.06419,2.46402,576.4571428571428,2.46402,495.46315
2.34503,513.5694736842106,2.34503,470.66238,,,,,,,,,2.41455,534.5257142857143,2.41455,482.03096,2.46496,576.3502857142857,2.46496,495.4202
2.34597,513.5042105263159,2.34597,470.63748,,,,,,,,,2.41549,534.4731428571429,2.41549,481.99777,2.4659,576.2434285714286,2.4659,495.37729
2.3469,513.438947368421,2.3469,470.61261,,,,,,,,,2.41643,534.4205714285714,2.41643,481.96462,2.46683,576.1365714285714,2.46683,495.33443
2.34784,513.3736842105263,2.34784,470.58777,,,,,,,,,2.41736,534.368,2.41736,481.9315,2.46777,576.0297142857142,2.46777,495.29163
2.34877,513.3084210526316,2.34877,470.56297,,,,,,,,,2.4183,534.3154285714286,2.4183,481.89843,2.46871,575.9228571428572,2.46871,495.24886
2.34971,513.2431578947369,2.34971,470.53819,,,,,,,,,2.41924,534.2628571428571,2.41924,481.86539,2.46965,575.816,2.46965,495.20615
2.35065,513.1778947368422,2.35065,470.51344,,,,,,,,,2.42017,534.2102857142858,2.42017,481.83239,2.47059,575.7091428571429,2.47059,495.16349
2.35158,513.1126315789475,2.35158,470.48872,,,,,,,,,2.42111,534.1577142857143,2.42111,481.79943,2.47153,575.6022857142857,2.47153,495.12087
2.35252,513.0473684210526,2.35252,470.46402,,,,,,,,,2.42205,534.1051428571428,2.42205,481.76651,2.47246,575.4954285714285,2.47246,495.07831
2.35345,512.9821052631579,2.35345,470.43936,,,,,,,,,2.42298,534.0525714285715,2.42298,481.73362,2.4734,575.3885714285715,2.4734,495.03579
2.35439,512.9168421052632,2.35439,470.41473,,,,,,,,,2.42314,534.0,2.42314,481.7172,2.47434,575.2817142857143,2.47434,494.99332
2.35532,512.8515789473685,2.35532,470.39013,,,,,,,,,2.42392,533.9737142857143,2.42392,481.70078,2.47528,575.1748571428571,2.47528,494.9509
2.35626,512.7863157894737,2.35626,470.36555,,,,,,,,,2.42486,533.9474285714285,2.42486,481.66797,2.47622,575.068,2.47622,494.90852
2.35719,512.721052631579,2.35719,470.34101,,,,,,,,,2.4258,533.9211428571429,2.4258,481.6352,2.47715,574.9611428571429,2.47715,494.8662
2.35813,512.6557894736842,2.35813,470.31649,,,,,,,,,2.42673,533.8948571428572,2.42673,481.60246,2.47809,574.8542857142858,2.47809,494.82392
2.35906,512.5905263157895,2.35906,470.292,,,,,,,,,2.42767,533.8685714285714,2.42767,481.56977,2.47903,574.7474285714286,2.47903,494.78169
2.36,512.5252631578948,2.36,470.26755,,,,,,,,,2.42861,533.8422857142857,2.42861,481.53711,2.47997,574.6405714285714,2.47997,494.73951
2.36094,512.46,2.36094,470.24312,,,,,,,,,2.42954,533.816,2.42954,481.50449,2.48091,574.5337142857144,2.48091,494.69737
2.36187,512.3947368421053,2.36187,470.21872,,,,,,,,,2.43048,533.7897142857142,2.43048,481.47191,2.48185,574.4268571428572,2.48185,494.65528
2.36281,512.3294736842106,2.36281,470.19435,,,,,,,,,2.43142,533.7634285714286,2.43142,481.43937,2.48222,574.32,2.48222,494.63426000000004
2.36374,512.2642105263159,2.36374,470.17,,,,,,,,,2.43236,533.7371428571429,2.43236,481.40686,2.48279,574.2282352941177,2.48279,494.61324
2.36468,512.198947368421,2.36468,470.14569,,,,,,,,,2.43329,533.7108571428572,2.43329,481.37439,2.48372,574.1364705882354,2.48372,494.57125
