cfd-a,cfd-a,sim-a,sim-a,cfd-b,cfd-b,sim-b,sim-b,cfd-c,cfd-c,sim-c,sim-c,cfd-d,cfd-d,sim-d,sim-d,cfd-e,cfd-e,sim-e,sim-e
0.0014,0.01553,0.02084,0.05976,0.00318,0.01356,0.04102,0.055,0.00474,0.01858,0.06006,0.04816,8.45E-04,0.01624,0.02404,0.0735,4.87E-04,0.01656,0.02677,0.0869
0.00149,0.01588,0.02132,0.06026,0.00333,0.0138,0.04194,0.05533,0.00491,0.01878,0.06136,0.04826,9.01E-04,0.01661,0.02457,0.07409,5.22E-04,0.01697,0.02734,0.08758
0.00159,0.01622,0.0218,0.06076,0.00348,0.01405,0.04286,0.05565,0.00511,0.01898,0.06267,0.04834,9.63E-04,0.01701,0.0251,0.07468,5.62E-04,0.0174,0.02791,0.08825
0.00168,0.01656,0.02228,0.06125,0.00365,0.01431,0.04378,0.05597,0.0053,0.01918,0.06398,0.04842,0.00103,0.01743,0.02563,0.07526,6.02E-04,0.01782,0.02849,0.08891
0.00178,0.01693,0.02277,0.06174,0.00383,0.01459,0.04471,0.05627,0.00549,0.01938,0.0653,0.04848,0.0011,0.01783,0.02616,0.07583,6.47E-04,0.01828,0.02907,0.08957
0.00189,0.01729,0.02325,0.06222,0.00401,0.01486,0.04564,0.05656,0.00571,0.01959,0.06661,0.04854,0.00117,0.01827,0.0267,0.0764,6.94E-04,0.01876,0.02964,0.09022
0.00199,0.01765,0.02374,0.06269,0.0042,0.01513,0.04658,0.05685,0.00592,0.0198,0.06793,0.04858,0.00125,0.01873,0.02724,0.07695,7.44E-04,0.01923,0.03022,0.09086
0.00211,0.01802,0.02423,0.06316,0.00439,0.01541,0.04751,0.05713,0.00613,0.02001,0.06925,0.04861,0.00134,0.01921,0.02778,0.07751,7.98E-04,0.01976,0.0308,0.09149
0.00223,0.01842,0.02472,0.06362,0.00459,0.01569,0.04845,0.05739,0.00635,0.02021,0.07057,0.04864,0.00143,0.01969,0.02832,0.07805,8.55E-04,0.02029,0.03139,0.09212
0.00237,0.01883,0.02521,0.06407,0.00482,0.01599,0.04939,0.05765,0.00661,0.02045,0.07189,0.04865,0.00152,0.02018,0.02886,0.07859,9.12E-04,0.02079,0.03197,0.09273
0.00251,0.01926,0.0257,0.06452,0.00504,0.01629,0.05033,0.05791,0.00688,0.02069,0.07321,0.04865,0.00162,0.02067,0.02941,0.07912,9.73E-04,0.0213,0.03256,0.09335
0.00267,0.0197,0.0262,0.06497,0.00527,0.01658,0.05128,0.05815,0.00715,0.02092,0.07454,0.04865,0.00173,0.02119,0.02996,0.07964,0.00104,0.02183,0.03314,0.09395
0.00283,0.02015,0.0267,0.06541,0.00551,0.0169,0.05222,0.05839,0.00741,0.02113,0.07586,0.04863,0.00184,0.02169,0.0305,0.08016,0.0011,0.02233,0.03373,0.09455
0.003,0.02062,0.0272,0.06584,0.00576,0.01721,0.05317,0.05862,0.00768,0.02135,0.07719,0.04861,0.00195,0.0222,0.03105,0.08067,0.00117,0.02286,0.03432,0.09513
0.00318,0.02108,0.0277,0.06627,0.00603,0.01752,0.05412,0.05884,0.00796,0.02158,0.07852,0.04857,0.00206,0.02272,0.0316,0.08118,0.00123,0.0234,0.03491,0.09572
0.00336,0.02155,0.0282,0.06669,0.00628,0.01781,0.05507,0.05905,0.00826,0.02181,0.07985,0.04853,0.00219,0.02325,0.03215,0.08168,0.00131,0.02396,0.03551,0.09629
0.00356,0.02204,0.0287,0.06711,0.00657,0.01814,0.05603,0.05926,0.00857,0.02206,0.08118,0.04848,0.00232,0.02379,0.03271,0.08218,0.0014,0.02457,0.0361,0.09686
0.00378,0.02254,0.02921,0.06752,0.00688,0.01847,0.05698,0.05946,0.00888,0.02229,0.08251,0.04842,0.00247,0.02435,0.03326,0.08267,0.00149,0.02516,0.03669,0.09743
0.00401,0.02305,0.02971,0.06793,0.00718,0.01879,0.05794,0.05965,0.0092,0.02252,0.08384,0.04836,0.00263,0.02494,0.03382,0.08315,0.00159,0.02576,0.03729,0.09799
0.00425,0.02353,0.03022,0.06833,0.00749,0.0191,0.0589,0.05984,0.00951,0.02275,0.08517,0.04828,0.0028,0.02555,0.03438,0.08363,0.00169,0.02635,0.03789,0.09854
0.0045,0.02404,0.03073,0.06873,0.00782,0.01942,0.05986,0.06002,0.00982,0.02297,0.0865,0.0482,0.00299,0.02618,0.03494,0.0841,0.00179,0.02696,0.03849,0.09908
0.00475,0.02452,0.03124,0.06912,0.00818,0.01976,0.06082,0.06019,0.01014,0.02319,0.08784,0.04811,0.00317,0.02679,0.0355,0.08457,0.0019,0.02757,0.03909,0.09962
0.00503,0.02505,0.03175,0.06951,0.00851,0.02008,0.06179,0.06036,0.01049,0.02342,0.08917,0.04802,0.00336,0.02738,0.03606,0.08503,0.00203,0.02822,0.03969,0.10016
0.00533,0.02559,0.03227,0.06989,0.00885,0.0204,0.06275,0.06052,0.01085,0.02366,0.09051,0.04791,0.00355,0.02797,0.03662,0.08549,0.00216,0.02885,0.04029,0.10068
0.00565,0.02618,0.03278,0.07027,0.0092,0.02072,0.06372,0.06067,0.01123,0.02391,0.09184,0.0478,0.00375,0.02856,0.03718,0.08594,0.00229,0.02951,0.04089,0.10121
0.00597,0.02674,0.0333,0.07065,0.00955,0.02103,0.06469,0.06082,0.01159,0.02413,0.09318,0.04769,0.00397,0.0292,0.03775,0.08638,0.00244,0.03021,0.0415,0.10172
0.00632,0.02733,0.03381,0.07102,0.00991,0.02133,0.06566,0.06096,0.01198,0.02437,0.09452,0.04756,0.00422,0.02991,0.03831,0.08683,0.00261,0.03094,0.0421,0.10224
0.0067,0.02795,0.03433,0.07139,0.01026,0.02164,0.06663,0.0611,0.01241,0.02462,0.09586,0.04744,0.00448,0.0306,0.03888,0.08726,0.00279,0.03172,0.04271,0.10274
0.00709,0.02856,0.03485,0.07175,0.01062,0.02194,0.0676,0.06123,0.01284,0.02487,0.09719,0.0473,0.00475,0.03129,0.03945,0.08769,0.00298,0.03252,0.04332,0.10324
0.0075,0.02918,0.03537,0.07211,0.01101,0.02226,0.06857,0.06135,0.01328,0.02512,0.09853,0.04716,0.00503,0.03201,0.04002,0.08812,0.0032,0.03338,0.04392,0.10374
0.00796,0.02984,0.03589,0.07246,0.01141,0.02258,0.06954,0.06147,0.01371,0.02536,0.09987,0.04701,0.00534,0.03276,0.04059,0.08854,0.00341,0.03421,0.04453,0.10423
0.00841,0.03048,0.03641,0.07281,0.01184,0.02292,0.07052,0.06158,0.01415,0.0256,0.10121,0.04686,0.00565,0.03351,0.04116,0.08896,0.00363,0.03504,0.04514,0.10471
0.00889,0.03114,0.03694,0.07315,0.01228,0.02326,0.07149,0.06169,0.0146,0.02585,0.10255,0.04671,0.00598,0.03427,0.04173,0.08938,0.00387,0.03589,0.04575,0.1052
0.00937,0.03179,0.03746,0.0735,0.01272,0.0236,0.07247,0.06179,0.01503,0.02609,0.10389,0.04654,0.00631,0.03501,0.0423,0.08979,0.00412,0.03676,0.04637,0.10567
0.00984,0.03242,0.03799,0.07383,0.01315,0.02392,0.07345,0.06188,0.01549,0.02634,0.10523,0.04638,0.00669,0.03581,0.04288,0.09019,0.00438,0.03765,0.04698,0.10614
