cfd-a,cfd-a.1,sim-a,sim-a.1,cfd-b,cfd-b.1,sim-b,sim-b.1,cfd-c,cfd-c.1,sim-c,sim-c.1,cfd-d,cfd-d.1,sim-d,sim-d.1,cfd-e,cfd-e.1,sim-e,sim-e.1
0.82056,0.05474285714285714,0.82056,0.08564,1.69818,0.009581875,1.69818,0.02693,2.63343,0.018727142857142855,2.63343,0.00127,0.86395,0.11870782608695651,0.86395,0.1241,0.89311,0.19530739130434782,0.89311,0.16231
0.82139,0.05472,0.82139,0.08563,1.7,0.0096025,1.7,0.02693,2.63626,0.018754285714285713,2.63626,0.00127,0.86479,0.11869173913043478,0.86479,0.1241,0.89396,0.19531434782608695,0.89396,0.16231
0.82222,0.054697142857142854,0.82222,0.08563,1.70183,0.009623125,1.70183,0.02692,2.63909,0.01878142857142857,2.63909,0.00127,0.86563,0.11867565217391304,0.86563,0.1241,0.8948,0.19532130434782607,0.8948,0.16231
0.82305,0.05467428571428571,0.82305,0.08563,1.70365,0.00964375,1.70365,0.02692,2.64192,0.018808571428571428,2.64192,0.00127,0.86646,0.11865956521739131,0.86646,0.1241,0.89565,0.1953282608695652,0.89565,0.16232
0.82387,0.054651428571428566,0.82387,0.08562,1.70548,0.009664375,1.70548,0.02692,2.64475,0.018835714285714285,2.64475,0.00127,0.8673,0.11864347826086956,0.8673,0.1241,0.8965,0.19533521739130433,0.8965,0.16232
0.8247,0.05462857142857143,0.8247,0.08562,1.7073,0.009685,1.7073,0.02692,2.64758,0.018862857142857143,2.64758,0.00127,0.86814,0.11862739130434782,0.86814,0.1241,0.89734,0.19534217391304345,0.89734,0.16233
0.82553,0.054605714285714285,0.82553,0.08562,1.70913,0.009705625,1.70913,0.02692,2.64771,0.01889,2.64771,0.001265,0.86898,0.11861130434782609,0.86898,0.1241,0.89819,0.1953491304347826,0.89819,0.16233
0.82636,0.05458285714285714,0.82636,0.08561,1.71096,0.00972625,1.71096,0.02692,2.65041,0.01892,2.65041,0.00126,0.86982,0.11859521739130435,0.86982,0.1241,0.89904,0.19535608695652174,0.89904,0.16234
0.82681,0.05456,0.82681,0.08561,1.71278,0.009746875,1.71278,0.02692,2.65324,0.01895,2.65324,0.00126,0.87066,0.1185791304347826,0.87066,0.1241,0.89989,0.19536304347826086,0.89989,0.16234
0.82719,0.054537499999999996,0.82719,0.08561,1.71461,0.0097675,1.71461,0.02692,2.65608,0.01898,2.65608,0.00126,0.8715,0.11856304347826087,0.8715,0.1241,0.90064,0.19537,0.90064,0.16234
0.82801,0.054514999999999994,0.82801,0.08561,1.71644,0.009788125,1.71644,0.02692,2.65891,0.01901,2.65891,0.00126,0.87234,0.11854695652173913,0.87234,0.1241,0.90073,0.19537559999999998,0.90073,0.16234
0.82884,0.0544925,0.82884,0.0856,1.71826,0.00980875,1.71826,0.02691,2.66174,0.01904,2.66174,0.00126,0.87318,0.1185308695652174,0.87318,0.1241,0.90158,0.19538119999999998,0.90158,0.16235
0.82967,0.05447,0.82967,0.0856,1.72009,0.009829375,1.72009,0.02691,2.66457,0.01907,2.66457,0.00126,0.87402,0.11851478260869565,0.87402,0.1241,0.90243,0.1953868,0.90243,0.16235
0.8305,0.054447499999999996,0.8305,0.0856,1.72159,0.00985,1.72159,0.02691,2.6674,0.0191,2.6674,0.00126,0.87486,0.11849869565217391,0.87486,0.1241,0.90328,0.1953924,0.90328,0.16236
0.83133,0.054425,0.83133,0.08559,1.72192,0.009868235294117646,1.72192,0.02691,2.67024,0.019129999999999998,2.67024,0.00126,0.8757,0.11848260869565218,0.8757,0.1241,0.90412,0.195398,0.90412,0.16236
0.83216,0.0544025,0.83216,0.08559,1.72375,0.009886470588235293,1.72375,0.02691,2.67307,0.01916,2.67307,0.00126,0.87654,0.11846652173913044,0.87654,0.1241,0.90497,0.19540359999999998,0.90497,0.16236
0.83299,0.05438,0.83299,0.08559,1.72557,0.00990470588235294,1.72557,0.02691,2.6759,0.01919,2.6759,0.00126,0.87738,0.1184504347826087,0.87738,0.1241,0.90582,0.19540919999999998,0.90582,0.16237
0.83382,0.054357499999999996,0.83382,0.08558,1.7274,0.009922941176470588,1.7274,0.02691,2.67874,0.019219999999999998,2.67874,0.00126,0.87822,0.11843434782608696,0.87822,0.1241,0.90667,0.1954148,0.90667,0.16237
0.83465,0.054334999999999994,0.83465,0.08558,1.72923,0.009941176470588235,1.72923,0.02691,2.68157,0.01925,2.68157,0.00126,0.87906,0.11841826086956522,0.87906,0.1241,0.90752,0.1954204,0.90752,0.16238
0.83548,0.0543125,0.83548,0.08558,1.73106,0.009959411764705882,1.73106,0.02691,2.68311,0.01928,2.68311,0.00126,0.8799,0.11840217391304349,0.8799,0.1241,0.90836,0.195426,0.90836,0.16238
0.83631,0.05429,0.83631,0.08557,1.73289,0.009977647058823529,1.73289,0.02691,2.6844,0.01930857142857143,2.6844,0.00126,0.88074,0.11838608695652174,0.88074,0.1241,0.90921,0.19543159999999998,0.90921,0.16238
0.83714,0.054267499999999996,0.83714,0.08557,1.73472,0.009995882352941176,1.73472,0.0269,2.68724,0.019337142857142855,2.68724,0.00126,0.88102,0.11837,0.88102,0.1241,0.91006,0.19543719999999998,0.91006,0.16239
0.83797,0.054245,0.83797,0.08557,1.73654,0.010014117647058824,1.73654,0.0269,2.69007,0.019365714285714285,2.69007,0.00126,0.88158,0.11835478260869566,0.88158,0.1241,0.91091,0.1954428,0.91091,0.16239
0.8388,0.0542225,0.8388,0.08556,1.73837,0.010032352941176471,1.73837,0.0269,2.6929,0.019394285714285715,2.6929,0.00126,0.88242,0.11833956521739131,0.88242,0.1241,0.91176,0.1954484,0.91176,0.1624
0.83963,0.0542,0.83963,0.08556,1.7402,0.010050588235294118,1.7402,0.0269,2.69574,0.01942285714285714,2.69574,0.00126,0.88327,0.11832434782608696,0.88327,0.1241,0.91261,0.195454,0.91261,0.1624
0.84046,0.054177499999999996,0.84046,0.08556,1.74203,0.010068823529411765,1.74203,0.0269,2.69857,0.01945142857142857,2.69857,0.00126,0.88411,0.11830913043478261,0.88411,0.1241,0.91346,0.19545959999999998,0.91346,0.16241
