CFD-a,CFD-a,SIM-a,SIM-a,CFD-b,CFD-b,SIM-b,SIM-b,CFD-c,CFD-c,SIM-c,SIM-c,CFD-d,CFD-d,SIM-d,SIM-d,CFD-e,CFD-e,SIM-e,SIM-e
0.07389,8428.8,0.10735,13194.14823,0.05878,8128.8,0.13983,5565.12554,0.06018,7279.4,0.17633,2969.69218,0.08065,9786.2,0.12694,13445.96442,0.08638,11599.8,0.14555,13722.40562
0.0755,8248.2,0.10795,13099.54536,0.06007,7986,0.14082,5505.94503,0.06136,7149.6,0.17772,2934.18582,0.08258,9556.8,0.12761,13356.10474,0.08834,11399.6,0.14627,13636.60577
0.07711,8081.4,0.10855,13005.87296,0.06144,7853,0.14182,5447.72248,0.06254,6993.8,0.17912,2899.2784,0.08455,9346.6,0.12827,13267.06629,0.09038,11193,0.14699,13551.53821
0.07873,7927,0.10915,12913.12089,0.0629,7659,0.14282,5390.43684,0.06371,6841,0.18051,2864.95496,0.08651,9109.8,0.12893,13178.84074,0.09255,11011.8,0.14771,13467.19591
0.08037,7762,0.10975,12821.27913,0.06438,7481.4,0.14382,5334.06759,0.06488,6707.2,0.18191,2831.20107,0.08848,8887.8,0.1296,13091.41976,0.09479,10840.6,0.14843,13383.57191
0.0821,7626.6,0.11034,12730.33769,0.0659,7328.6,0.14482,5278.59474,0.06616,6577.8,0.18331,2798.00284,0.09053,8708.8,0.13026,13004.79517,0.09723,10666.4,0.14915,13300.65934
0.08398,7441.2,0.11094,12640.28674,0.06732,7177.6,0.14582,5223.99882,0.06743,6415.6,0.18471,2765.34687,0.09258,8543.8,0.13092,12918.95881,0.09963,10494.8,0.14987,13218.45132
0.08596,7264.8,0.11154,12551.1165,0.0687,7044.6,0.14682,5170.26084,0.06873,6292.6,0.18612,2733.22024,0.09473,8381.2,0.13158,12833.9026,0.10207,10271.6,0.15059,13136.94109
0.08794,7089.4,0.11213,12462.81729,0.07014,6912.2,0.14782,5117.3623,0.07019,6126.6,0.18752,2701.61053,0.09688,8221.2,0.13224,12749.61853,0.10457,10036.2,0.1513,13056.12191
0.08985,6925.2,0.11273,12375.37951,0.07168,6760.6,0.14882,5065.28517,0.07165,6002,0.18893,2670.50573,0.09906,8051.8,0.1329,12666.09869,0.10713,9807.8,0.15202,12975.98714
