x,y,u_real_x,u_real_y,s,d,Q,ppm,d_u_x,d_u_y,d_U_s_x,d_U_s_y
0.5177077333407922,0.08832267252281467,0.14936389656120982,-0.0024663208790165047,0.5712307455161418,0.3152120492827421,0.011657363384893187,1026.3656360355712,5.4703106722286954e-05,7.81490715800505e-06,"[0.1491635859, -0.0084787559, 159.9827226221, 0.13725022281285576, 0.059025765515371496]","[0.1492184704, -0.0084589748, 160.0105094065, 0.13733717260890782, 0.05895936894444252]"
0.5184545528235983,0.08831034091841958,0.1494185291443258,-0.0024585265073643822,0.5719776668027348,0.31559805820365333,0.01169019523131572,1024.7188315016144,5.463258311597108e-05,7.794371652122475e-06,"[0.1492184704, -0.0084589748, 160.0105094065, 0.13733717260890782, 0.05895936894444252]","[0.149273284, -0.0084392483, 160.0382318177, 0.1374239387817849, 0.058893083389952354]"
0.5192016454693199,0.08829804828588275,0.1494730911022907,-0.0024507524936265637,0.5727248605728547,0.3159842079440513,0.011723087888443909,1023.0782265497453,5.456195796491037e-05,7.774013737818497e-06,"[0.149273284, -0.0084392483, 160.0382318177, 0.1374239387817849, 0.058893083389952354]","[0.1493280266, -0.0084195761, 160.065890043, 0.13751052175221745, 0.05882690869606317]"
0.5199490109248314,0.08828579452341462,0.14952758233356678,-0.0024429990604670597,0.5734723264776198,0.31637049832363395,0.011756041382699377,1021.4437932942302,5.449123127607147e-05,7.753433159504025e-06,"[0.1493280266, -0.0084195761, 160.065890043, 0.13751052175221745, 0.05882690869606317]","[0.1493826981, -0.0083999583, 160.0934842699, 0.13759692194069503, 0.05876084470544209]"
0.5206966488364992,0.0882735795281123,0.14958200293702162,-0.0024352661294097175,0.5742200641676377,0.3167569291618352,0.011789055755664373,1019.8155032387883,5.442060345484112e-05,7.732931057342213e-06,"[0.1493826981, -0.0083999583, 160.0934842699, 0.13759692194069503, 0.05876084470544209]","[0.1494372986, -0.0083803947, 160.1210146851, 0.13768313976695432, 0.058694891260706865]"
0.5214445588511843,0.08826140319746525,0.14963635281112944,-0.0024275536214569664,0.5749680732939819,0.3171435002783299,0.011822131033041828,1018.1933288149243,5.434987410782299e-05,7.712507952751038e-06,"[0.1494372986, -0.0083803947, 160.1210146851, 0.13768313976695432, 0.058694891260706865]","[0.149491828, -0.0083608851, 160.1484814745, 0.13776917565024244, 0.05862904820401048]"
0.52219274061524,0.08824926542935796,0.1496906320547691,-0.002419861557275582,0.5757163535071909,0.3175302114925162,0.01185526725628621,1016.5772418210299,5.427924363965442e-05,7.692064181384281e-06,"[0.149491828, -0.0083608851, 160.1484814745, 0.13776917565024244, 0.05862904820401048]","[0.1495462864, -0.0083414294, 160.1758848236, 0.13785503000892674, 0.05856331537801617]"
0.5229411937755138,0.08823716612157159,0.1497448403660292,-0.0024121898568167394,0.5764649044582776,0.31791706262403785,0.01188846443486109,1014.9672157521615,5.420831126010106e-05,7.671700458842731e-06,"[0.1495462864, -0.0083414294, 160.1758848236, 0.13785503000892674, 0.05856331537801617]","[0.1496006735, -0.0083220274, 160.2032249172, 0.13794070326113644, 0.05849769262403349]"
0.523689917977344,0.08822510517228752,0.14979897794400002,-0.00240453863988397,0.577213725796718,0.31830405349174384,0.01192172261790881,1013.3632223092005,5.413757797081975e-05,7.651216932769503e-06,"[0.1496006735, -0.0083220274, 160.2032249172, 0.13794070326113644, 0.05849769262403349]","[0.1496549895, -0.0083026791, 160.2305019397, 0.1380261958241588, 0.05843217978345664]"
0.524438912867064,0.0882130824790881,0.14985304468718028,-0.002396907825379626,0.5779628171729723,0.31869118391499207,0.011955041830385748,1011.7652345060943,5.4066743180258836e-05,7.630814504343969e-06,"[0.1496549895, -0.0083026791, 160.2305019397, 0.1380261958241588, 0.05843217978345664]","[0.1497092343, -0.0082833843, 160.2577160749, 0.1381115081147517, 0.058366776697355474]"
